invoice_id,vendor_id,invoice_date,due_date,amount,currency,status,po_number
INV-5001,V001,2026-03-11,2026-04-10,12840.00,USD,approved,PO-401
INV-5002,V002,2026-03-13,2026-04-12,7310.55,USD,approved,PO-402
INV-5003,V003,2026-03-06,2026-04-05,22100.00,USD,approved,PO-403
INV-5004,V004,2026-04-01,2026-04-16,890.40,USD,approved,PO-404
INV-5005,V005,2026-02-18,2026-04-18,18450.00,USD,approved,PO-405
INV-5006,V006,2026-03-21,2026-04-20,6420.00,USD,approved,PO-406
INV-5007,V002,2026-03-23,2026-04-22,3100.00,USD,approved,PO-407
INV-5008,V003,2026-03-26,2026-04-25,5100.00,USD,approved,PO-408
INV-5009,V003,2026-03-28,2026-04-27,2100.00,USD,approved,PO-409
INV-5010,V006,2026-03-27,2026-04-26,1200.00,USD,approved,PO-410
INV-5011,V006,2026-03-27,2026-04-26,800.00,USD,approved,PO-411
INV-5012,V004,2026-04-05,2026-04-30,1000.00,USD,approved,PO-412
